Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,0.1u,C_0402_1005Metric,197.889,-52.07,0,top
C102,4.7nF,C_0402_1005Metric,185.189,-53.213,0,top
C103,4.7nF,C_0402_1005Metric,185.189,-54.483,0,top
C104,4.7nF,C_0402_1005Metric,187.96,-57.554,90,top
C105,0.1u,C_0402_1005Metric,197.97,-50.292,180,top
C106,0.1u,C_0402_1005Metric,185.016,-49.149,0,top
C107,0.1u,C_0402_1005Metric,185.062,-50.8,0,top
C108,0.33u,C_0805_2012Metric,173.736,-49.8625,270,top
C109,0.1u,C_0402_1005Metric,180.594,-49.045,270,top
R101,1Meg,R_0402_1005Metric,183.515,-57.762,90,top
R102,1Meg,R_0402_1005Metric,185.674,-57.681,90,top
R103,1Meg,R_0402_1005Metric,186.817,-57.635,90,top
R104,1k,R_0402_1005Metric,194.31,-44.727,270,top
R105,1k,R_0402_1005Metric,197.889,-48.006,180,top
R106,1k,R_0402_1005Metric,197.889,-49.149,180,top
R107,1k,R_0402_1005Metric,197.97,-53.213,180,top
R108,1k,R_0402_1005Metric,197.97,-54.356,180,top
R109,1k,R_0402_1005Metric,195.326,-57.508,90,top
R110,1k,R_0402_1005Metric,194.183,-57.508,90,top
R111,1k,R_0402_1005Metric,193.04,-57.508,90,top
R112,1k,R_0402_1005Metric,188.722,-59.713,90,top
R113,1k,R_0402_1005Metric,190.119,-59.713,90,top
R114,1k,R_0402_1005Metric,191.135,-57.508,90,top
R115,10,R_0603_1608Metric,155.526153,-102.313153,315,top
R116,10,R_0603_1608Metric,143.1545,-97.282,180,top
R117,10,R_0603_1608Metric,130.888153,-102.283847,45,top
R118,10,R_0603_1608Metric,125.73,-114.6555,270,top
R119,10,R_0603_1608Metric,130.888153,-126.824153,135,top
R120,10,R_0603_1608Metric,142.8495,-131.826,0,top
R121,10,R_0603_1608Metric,155.399153,-126.794847,225,top
R122,10,R_0603_1608Metric,160.401,-114.5795,90,top
U101,AT42QT1245-AU,TQFP-32_7x7mm_P0.8mm,191.516,-51.181,180,top
U102,UTC78L05_SOT89,SOT-89-3,177.419,-50.6095,270,top
